Pavlis, N.K., S.A. Holmes, S.C. Kenyon, and J.K. Factor:
An Earth Gravitational Model to Degree 2160: EGM2008,
presented at the 2008 General Assembly of the European Geosciences Union,
Vienna, Austria, April 13-18, 2008.


product_type                gravity_field
modelname                   EGM2008
earth_gravity_constant      0.3986004415E+15
radius                      0.63781363E+07
max_degree                  2190
errors                      calibrated
norm                        fully_normalized
tide_system                 tide_free

url                   http://earth-info.nima.mil/GandG/

 
 
key     L    M             C                       S                    sigma C             sigma S
gfc    19   16   -0.217451255571334D-07   -0.709767792051299D-08    0.4032228623D-11    0.4041966031D-11
gfc    19   17    0.288044882586693D-07   -0.153426366311999D-07    0.5739159899D-11    0.5726117931D-11
gfc    19   18    0.350090299803503D-07   -0.968981039886231D-08    0.6916828699D-11    0.6917011807D-11
gfc    19   19   -0.270413871892665D-08    0.519745751787224D-08    0.5728483263D-11    0.5730262786D-11
gfc    20    0    0.215591507033563D-07    0.000000000000000D+00    0.4604922769D-12    0.0000000000D+00
gfc    20    1    0.556769420352798D-08    0.702905214885703D-08    0.4419744032D-12    0.4847390558D-12
gfc    20    2    0.202918579297024D-07    0.171846424016348D-07    0.4918625038D-12    0.4585379483D-12
gfc    20    3   -0.475067130843254D-08    0.388999361019568D-07    0.5066182375D-12    0.5041198236D-12
gfc    20    4    0.427003612219999D-08   -0.226257406735223D-07    0.6095848051D-12    0.6002945070D-12
gfc    20    5   -0.101257213338814D-07   -0.825992352502226D-08    0.7119764068D-12    0.7138919518D-12
gfc    20    6    0.121620484764481D-07   -0.436402383882308D-08    0.9197533955D-12    0.9141398012D-12
gfc    20    7   -0.212263060369801D-07   -0.705320978718748D-09    0.1125355827D-11    0.1126182705D-11
gfc    20    8    0.509516213860775D-08    0.215379201882923D-08    0.1375120547D-11    0.1372867518D-11
gfc    20    9    0.171870322955948D-07   -0.701274288613723D-08    0.1620624824D-11    0.1618518957D-11
gfc    20   10   -0.322958167727745D-07   -0.478973340317704D-08    0.1858294603D-11    0.1859304663D-11
gfc    20   11    0.144499209074778D-07   -0.191512412341219D-07    0.2180525829D-11    0.2181030704D-11
gfc    20   12   -0.646750566771670D-08    0.181349181903443D-07    0.2378005072D-11    0.2376355241D-11
