Starting processing for station: 'ACOR'.
Processing finished for station: 'ACOR'.
Starting processing for station: 'MADR'.
Processing finished for station: 'MADR'.
Starting processing for station: 'SCOA'.
Processing finished for station: 'SCOA'.
Starting processing for station: 'SFER'.
Processing finished for station: 'SFER'.
Starting processing for station: 'TLSE'.
Processing finished for station: 'TLSE'.
12570.00000 0.00499 0.02551 -0.01892 2.19492
12600.00000 0.00152 0.02435 -0.01139 2.19523
12630.00000 -0.00194 0.01998 -0.01460 2.19530
12660.00000 0.00143 0.02700 -0.02121 2.19534
12690.00000 0.00419 0.02887 -0.02169 2.19576
12720.00000 0.00580 0.03292 -0.03157 2.19614
12750.00000 0.01341 0.03155 -0.03857 2.19604
12780.00000 0.01466 0.02299 -0.03017 2.19612
12810.00000 0.01973 0.01621 -0.03776 2.19470
12840.00000 0.01006 0.01759 -0.03735 2.19529
12870.00000 0.01380 0.00879 -0.04714 2.19471
12900.00000 0.01247 0.01084 -0.04874 2.19440
12930.00000 0.01472 0.02047 -0.05045 2.19449
12960.00000 0.00167 0.01690 -0.03933 2.19421
12990.00000 -0.00046 0.02097 -0.02900 2.19428
13020.00000 0.00034 0.01442 -0.03114 2.19422
13050.00000 -0.00163 0.02133 -0.02482 2.19432
13080.00000 0.00753 0.02043 -0.04395 2.19425
13110.00000 0.00264 0.02366 -0.04242 2.19380
13140.00000 0.00280 0.01913 -0.03460 2.19395
13170.00000 0.00675 0.01824 -0.04158 2.19409
13200.00000 0.00553 0.01142 -0.03982 2.19410
13230.00000 0.00017 0.00896 -0.03278 2.19408
13260.00000 -0.00028 0.01302 -0.04138 2.19445
13290.00000 0.00260 0.01950 -0.04624 2.19422
13320.00000 -0.00512 0.01567 -0.03757 2.19417
13350.00000 0.00049 0.01873 -0.04300 2.19372
13380.00000 -0.00271 0.01287 -0.02471 2.19397
13410.00000 -0.00849 0.01097 -0.03142 2.19359
13440.00000 0.00200 0.00391 -0.04209 2.19356
13470.00000 -0.00037 0.00833 -0.04711 2.19283
13500.00000 0.00104 0.00435 -0.05609 2.19245
13530.00000 -0.01186 0.00384 -0.02355 2.19288
13560.00000 -0.00488 0.00093 -0.02638 2.19318
13590.00000 -0.01363 0.00130 -0.03488 2.19369
13620.00000 -0.01368 0.00725 -0.03024 2.19414
13650.00000 -0.01230 0.00481 -0.00934 2.19401
13680.00000 -0.00010 0.01041 -0.03789 2.19417
13710.00000 -0.01124 0.00634 -0.02382 2.19486
13740.00000 -0.00869 0.00921 -0.03053 2.19509
13770.00000 -0.01541 -0.00466 -0.03085 2.19620
13800.00000 -0.00512 -0.00209 -0.06032 2.19628
13830.00000 -0.01329 0.00315 -0.03216 2.19582
13860.00000 -0.01165 0.00673 -0.03221 2.19540
13890.00000 -0.01326 0.01618 -0.03516 2.19440
13920.00000 0.00102 0.00513 -0.02818 2.19521
13950.00000 -0.00106 0.00009 -0.02407 2.19584
13980.00000 0.00806 0.00697 -0.05860 2.19550
14010.00000 -0.00100 0.00710 -0.04324 2.19445
14040.00000 0.00587 0.00677 -0.05031 2.19312
14070.00000 0.00343 0.00756 -0.02380 2.19257
14100.00000 0.01022 0.00746 -0.03789 2.19228
14130.00000 -0.00703 0.00594 -0.02874 2.19196
14160.00000 -0.01245 0.00244 -0.03502 2.19295
14190.00000 0.00392 -0.00448 -0.04097 2.19237
14220.00000 0.00167 -0.00341 -0.04794 2.19145
14250.00000 0.01077 -0.00476 -0.03126 2.19218
14280.00000 -0.00111 0.00639 -0.05761 2.19100
14310.00000 0.00209 0.00423 -0.03229 2.19071
14340.00000 0.00416 0.00975 -0.04863 2.18948
14370.00000 -0.00073 0.00462 -0.02095 2.18900
14400.00000 0.00216 0.00391 -0.04432 2.18799
14430.00000 -0.00015 -0.00004 -0.03788 2.18714
14460.00000 0.00526 0.00775 -0.02416 2.18742
14490.00000 0.00981 0.00567 -0.02909 2.18797
14520.00000 -0.00175 0.00760 -0.01624 2.18731
14550.00000 0.00430 0.00727 -0.03917 2.18613
14580.00000 0.00654 0.01070 -0.02563 2.18603
14610.00000 0.00571 0.01061 -0.01950 2.18658
14640.00000 0.00742 0.01169 -0.02147 2.18697
14670.00000 0.00775 0.01192 -0.02508 2.18739
